Freq.	V(n003)
1.00000000000000e+000	(-5.97635965018206e-007dB,-2.12543992078574e-002°)
1.02329299228075e+000	(-6.25801679129131e-007dB,-2.17494777263360e-002°)
1.04712854805090e+000	(-6.55294801761072e-007dB,-2.22560881021917e-002°)
1.07151930523761e+000	(-6.86177890783904e-007dB,-2.27744989466939e-002°)
1.09647819614318e+000	(-7.18516454911328e-007dB,-2.33049851278584e-002°)
1.12201845430196e+000	(-7.52379087742566e-007dB,-2.38478279161845e-002°)
1.14815362149688e+000	(-7.87837623019270e-007dB,-2.44033151337870e-002°)
1.17489755493953e+000	(-8.24967261916951e-007dB,-2.49717413070019e-002°)
1.20226443461741e+000	(-8.63846768803686e-007dB,-2.55534078225463e-002°)
1.23026877081238e+000	(-9.04558610103517e-007dB,-2.61486230873162e-002°)
1.25892541179417e+000	(-9.47189141376257e-007dB,-2.67577026919057e-002°)
1.28824955169313e+000	(-9.91828784754037e-007dB,-2.73809695779358e-002°)
1.31825673855641e+000	(-1.03857222952175e-006dB,-2.80187542092795e-002°)
1.34896288259165e+000	(-1.08751862884022e-006dB,-2.86713947472767e-002°)
1.38038426460288e+000	(-1.13877179646937e-006dB,-2.93392372300284e-002°)
1.41253754462275e+000	(-1.19244045363653e-006dB,-3.00226357558689e-002°)
1.44543977074593e+000	(-1.24863843540296e-006dB,-3.07219526711100e-002°)
1.47910838816821e+000	(-1.30748494428248e-006dB,-3.14375587621594e-002°)
1.51356124843621e+000	(-1.36910480386021e-006dB,-3.21698334521125e-002°)
1.54881661891248e+000	(-1.43362871916154e-006dB,-3.29191650019249e-002°)
1.58489319246111e+000	(-1.50119354762892e-006dB,-3.36859507162693e-002°)
1.62181009735893e+000	(-1.57194261252895e-006dB,-3.44705971541879e-002°)
1.65958690743756e+000	(-1.64602597296495e-006dB,-3.52735203446511e-002°)
1.69824365246174e+000	(-1.72360077489304e-006dB,-3.60951460071368e-002°)
1.73780082874937e+000	(-1.80483156549389e-006dB,-3.69359097773479e-002°)
1.77827941003892e+000	(-1.88989064033168e-006dB,-3.77962574381868e-002°)
1.81970085860998e+000	(-1.97895843101493e-006dB,-3.86766451561096e-002°)
1.86208713666287e+000	(-2.07222384849841e-006dB,-3.95775397229860e-002°)
1.90546071796325e+000	(-2.16988473631845e-006dB,-4.04994188035912e-002°)
1.94984459975804e+000	(-2.27214823125298e-006dB,-4.14427711888644e-002°)
1.99526231496888e+000	(-2.37923125513028e-006dB,-4.24080970550636e-002°)
